Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Newsline Samoa,,https://newslinesamoa.com/,,"Apia, Samoa",Samoa,685 75 76710,editor@samoaglobalnews.com,Samoan,Samoan,,"Samoan,English",Newspaper,"Newspaper,Website",Triweekly,Local,Local,https://twitter.com/newslinesamoa,https://www.facebook.com/sunlinesamoa/,https://www.youtube.com/@newslinesamoanewspaper9363,
Newsroh,2010,https://newsroh.com/,10950,"Monroe, NY",New York,(914) 374-9793,newsroh@gmail.com,Korean American,Korean American,,Korean,Website,"Website,Television",Biweekly,Local,Local,,https://facebook.com/newsroh/,,
Next Weekly,2002,https://nextweeklyaz.com/,85233,"Gilbert, AZ",Arizona,(602) 295-5882,NextweeklyAZ@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,verified
NextShark,2013,https://nextshark.com/,92660,"Newport Beach, CA",California,(949) 335-7177,info@nextshark.com,Asian American,Asian American,,English,Website,"Newsletter,Website",Daily,National,National,https://twitter.com/NextShark,https://www.facebook.com/NextShark,https://www.youtube.com/@Nextshark,
Người Thông Dịch (The Interpreter),2020,https://the-interpreter.org/,,"Los Angeles, CA",California,,Nguoithongdich@gmail.com,Vietnamese American,Vietnamese American,Disinformation Defense,Vietnamese,Website,"Newsletter,Website",Daily,National,National,,https://www.facebook.com/theinterpreter.viet/,,
Người Việt (aka Nguoi Viet Daily News),1978,https://nguoi-viet.com/,92683,"Westminster, CA",California,(714) 892-9414,toasoan@nguoi-viet.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Television,Website",Daily,Local,"Local,National,Diasporic",https://twitter.com/nguoivietonline,https://www.facebook.com/NguoiVietOnline,https://www.youtube.com/@nguoivietdailynews,verified
Người Việt Dallas - Fort Worth News,1996,https://nguoivietdallas.com/lich,,"Dallas, TX",Texas,(469) 878-9969,nvdallasus@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Radio,Website",Weekly,Local,"Local,Diasporic",,https://facebook.com/people/Ng%C6%B0%E1%BB%9Di-Vi%E1%BB%87t-Dallas-Fort-Worth/100063561577580/,https://youtube.com/channel/UCLiYa_5aPeC3l1JIsumsX3A?view_as=subscriber,verified
Người Việt Ngày Nay (aka Vietnamese News Today Weekly News ),2001,https://nvngaynay.com/,98118,"Seattle, WA",Washington,(206) 725-8384,nguoivietngaynay@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,
Nhat Bao Cali Today,1998,https://baocalitoday.com/,95122,"San Jose, CA",California,(408) 482-6527,nam@baocalitoday.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Radio,Television,Website",Daily,Local,Local,,https://www.facebook.com/nhatbaocalitoday/,https://www.youtube.com/c/Truyenhinhvietnam1,
Nichi Bei News,1946,https://nichibei.org/,94115,"San Francisco, CA",California,(415) 673-1009,news@nichibeiweekly.org,Japanese American,"Japanese American,Asian American",,English,Newspaper,"Newspaper,Website",Bimonthly,Local,Local,https://twitter.com/nichibei,https://facebook.com/nichibei,"youtube.com/nichibeifoundation
",verified
North American Post,1902,https://napost.com,98104,"Seattle, WA",Washington,(206) 519-5469,info@napost.com,Japanese American,Japanese American,,English,Newspaper,Newspaper,Bimonthly,Local,Local,https://twitter.com/napost1902,https://www.facebook.com/TheNorthAmericanPost/,https://www.youtube.com/channel/UCkXma4auYp-PdW-PCVanlpA,verified
Northwest Asian Weekly,1982,https://nwasianweekly.com/,98104,"Seattle, WA",Washington,(206) 223-5559,info@nwasianweekly.com,Asian American,Asian American,,English,Website,Website,Weekly,Local,Local,https://twitter.com/nwasianweekly,https://facebook.com/NorthwestAsianWeekly/,https://www.youtube.com/@northwestasianweekly4275,verified
Northwest Vietnamese News / Người Việt Tây Bắc,1986,https://nvnorthwest.com/,98056,"Newcastle, WA",Washington,(206) 722-6984,news@nvnorthwest.com,Vietnamese American,Vietnamese American,,Vietnamese,Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/NguoiVietNW/,https://www.youtube.com/@NWVietnameseNews,
NRI Pulse,2006,https://nripulse.com/,30329,"Atlanta, GA",Georgia,(404) 664-2805,contact@NRIPulse.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,Local,https://twitter.com/NRIPulse,https://facebook.com/NRI-Pulse-Newspaper-109670120193,https://www.youtube.com/@NRIPulseNews,
NRI Today,1994,https://nritoday.net/,,"Queens, NY",New York,,editor@nritoday.net,Indian American,Indian American,Business and Professionals,English,Magazine,"Magazine,Television,Newsletter,Website",Monthly,National,National,,https://facebook.com/NRIToday.net/,https://youtube.com/channel/UCWav-SJsuYdPax0iRfRY6GQ,
NVR Channel (aka Nationwide Viet Radio),2013,https://nvradio.co/,22044,"Falls Church, VA",Virginia,(703) 992-6100,nvradiova@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",Daily,National,"Local,National,Diasporic",https://twitter.com/nvradio_vietnam,https://facebook.com/nvradioco,https://www.youtube.com/@NVRCHANNEL1,
NY Japion,2001,https://ejapion.com/,10017,"New York, NY",New York,(212) 431-9970,reader@nyjapion.com,Japanese American,Japanese American,Lifestyle,Japanese,Newspaper,"Newspaper,Newsletter,Website",Weekly,Local,Local,https://twitter.com/JapionNy,https://facebook.com/NYJapion,,
NYC Nepal News,2024,https://nycnepalnews.com/,11373,"Queens, NY",New York,(646) 731-4983,oped@nycnepalnews.com,Nepali American,"Nepali American,Bhutanese Nepali American,South Asian American",,Nepali,Website,"Website,Radio,Television",Weekly,Local,"Local,National,Diasporic",,https://www.facebook.com/profile.php?id=61565419996984,https://www.youtube.com/@NYCNEPAL-nyc,verified
Nyob Zoo Milwaukee TV,2017,,53220,"Greenfield, WI",Wisconsin,(414) 213-5322,dawn@nyobzootv.com,Hmong American,"Hmong American,Southeast Asian American,Pacific Islander",,Hmong,Television,"Television,Website",Monthly,Local,Local,https://twitter.com/nyobzoomke,https://www.facebook.com/nyobzoomke,https://www.youtube.com/@NyobZooMKE,
OMI Colorado (Oz Magazine; OZ TV; OZ Radio; Kyocharo Denver),2016,https://ozmagazine.net/,80014,"Aurora, CO",Colorado,(720) 427-8667,ozmagazinedenverco@gmail.com,Korean American,Korean American,,Korean,Magazine,"Magazine,Digital Magazine,Television,Radio,Website",Weekly,Local,Local,,https://www.facebook.com/omi4uco,,
One Micronesia,2019,https://kuam-one-micronesia.captivate.fm/listen,96929,"Dededo, Guam",Guam,(671) 637-5826,radioprod@kuam.com,Micronesian,"Micronesian,Pacific Islander",,English,Podcast,Podcast,Bimonthly,Diasporic,Diasporic,,,https://www.youtube.com/playlist?list=PLZojCMmMkWJ1NHwMYJv6ImOrTNHE-hPXl,
One Philippines News Texas,2008,https://onepinoytx.com/,77036,"Houston, TX",Texas,(713) 725-1407,info@onepinoytx.com,Filipino American,Filipino American,,English,Magazine,"Magazine,Newsletter,Website",Monthly,Local,Local,,https://facebook.com/onepinoytx/,,verified
Oregon Journal,2020,https://koreanoregon.com/,97007,"Beaverton, OR",Oregon,(503) 888-6122,info@koreanoregon.com,Korean American,Korean American,,Korean,Website,Website,Daily,Local,Local,,,,
OSM! Magazine,2012,https://www.marivirmontebon.com/osm-online-magazine,,"New York, NY",New York,,marivirmontebon@gmail.com,Filipino American,Filipino American,,English,Website,"Digital Magazine,Website",Weekly,Local,"Local,National",,,https://www.youtube.com/@awesomemedianyc,verified
OSNepal,2011,https://osnepal.com/,94530,"El Cerrito, CA",California,(510) 417-9671,osnepal@gmail.com,Nepali American,Nepali American,,Nepali,Website,Website,Daily,Diasporic,Diasporic,https://twitter.com/osnepalnews,https://www.facebook.com/osnepalcom/,https://www.youtube.com/@osnepalnews9789,
Pacific Citizen,1929,https://pacificcitizen.org/,90012,"Los Angeles, CA",California,(213) 620-1767,pc@pacifi ccitizen.org,Pacific Islander,Pacific Islander,,English,Newspaper,"Newspaper,Digital Newspaper,Website",Bimonthly,National,National,https://twitter.com/Pacific_Citizen,https://www.facebook.com/PacCit/,https://www.youtube.com/@PacificCitizen,
Pacific Northwest FilAm Chronicle,2018,https://pnwfilamchronicle.com/,98036,"Lynnwood, WA",Washington,(206) 709-9261,editor@pnwfilamchronicle.com,Filipino American,Filipino American,,"Tagalog,English",Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,Local,https://twitter.com/pnwfilamchroni1,https://www.facebook.com/pnwfilamchronicle/,https://www.youtube.com/@pnwfilamchronicle85,
Pakistan Link / Urdu Link,1991,https://pakistanlink.org/,92815,"Anaheim, CA",California,(714) 400-3400,editor@pakistanlink.com,Pakistani American,Pakistani American,,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,National,National,https://twitter.com/PakistanLink,https://www.facebook.com/pakistanlink/,https://www.youtube.com/@PakistanLinkUrduLink,
Pakistan News USA: Chicago Edition,1995,https://weeklynewspakistan.com/,60659,"Chicago, IL",Illinois,(773) 271-6400,newspakchicago@aol.com,Pakistani American,"Pakistani American,South Asian American",,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National",,,,
Pakistan News USA: Houston Edition,1995,https://weeklynewspakistan.com/,77478,"Sugarland, TX",Texas,(218) 748-6123,pakinews.houston@gmail.com,Pakistani American,"Pakistani American,South Asian American",,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National",,,,
Pakistan News USA: New York Edition,1995,https://weeklynewspakistan.com/,11422,"Rosedale, NY",New York,(718) 558-6080,newspakistan@aol.com,Pakistani American,"Pakistani American,South Asian American",,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National",,,,verified
Pakistan News USA: Washington Edition,1995,https://weeklynewspakistan.com/,11422,"Alexandria, VA",New York,(703) 628-2663,javaida@aol.com,Pakistani American,"Pakistani American,South Asian American",,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National",,,,verified
Pakistan Times USA,2005,https://pakistantimesusa.net/,94118,"San Francisco, CA",California,(415) 740-6300,pakistantimesusa@aol.com,Pakistani American,Pakistani American,,"Urdu,English",Newspaper,"Newspaper,Digital Newspaper,Website",Bimonthly,Local,Local,https://twitter.com/Pakistantimesua,https://www.facebook.com/pakistantimesusa/,https://www.youtube.com/@pakistantimesusatv4728,
Palau Wave Radio on 89.9 FM and Channel 24,2010,https://palauwaveradio.com/home,96940,"Koror, Palau",Palau,(680) 488-5350,pwfm89.9@gmail.com,Palauan,Palauan,,"Palauan,English",Radio,"Radio,Television,Website",24/7,Local,Local,,https://facebook.com/pwfm.admin/,https://youtube.com/channel/UCf_cyPcHN2IP6Hz5GbYCpVQ,
Pardes Times,2007,http://www.pardestimes.com/,94560,"Newark, CA",California,(510) 938-7771,info@pardestimes.com,Indian American,Indian American,,"Gurmukhi,Punjabi,English",Newspaper,"Newspaper,Radio,Television,Website",Bimonthly,Local,"Local,National",,,https://www.youtube.com/@pardestimestv,
Pars TV,1987,https://parstv.tv/,91367,"Woodland Hills, CA",California,(818) 776-1061,ad.parstv@gmail.com,Iranian American,Iranian American,,Farsi,Television,"Television,Website",24/7,Diasporic,"Local,National,Diasporic",https://twitter.com/ParsTV_Official,,https://www.youtube.com/@parstv.,
Pasifika by Design,2017,https://www.pasifikabydesign.com/,94533,"Fairfield, CA",California,,contactus@polybydesign.com,Pacific Islander,Pacific Islander,,English,Podcast,"Television,Radio,Website,Podcast",Weekly,Local,"Local,Diasporic",,https://www.facebook.com/pasifikabydesign,https://www.youtube.com/channel/UCg-eivdPLuZMFmt8u5UzziA,
Pasifika Uprising (by Sha Merirei Ongalungel),2021,https://merirei.com/,,"Kaneohe, HI",Hawaii,,sha@merirei.com,Pacific Islander,"Palauan,Micronesian,Pacific Islander",Indigenous Decolonial,English,Website,"Website,Podcast",,Diasporic,Diasporic,https://twitter.com/PasifikaUprise,https://www.facebook.com/PasifikaUprising/,https://www.youtube.com/@PasifikaUprising,
Payam E Afghan TV,1992,https://payameafghantv.com/,91303,"Los Angeles, CA",California,(818) 917-1588,payameafg@hotmail.com,Afghan American,Afghan American,,"Dari,Pashto",Television,"Television,Radio,Website",24/7,Local,"Local,National,Diasporic",https://twitter.com/payameafghantv?lang=en,https://www.facebook.com/PayamAfghanTV/,https://www.youtube.com/@payam-e-afghantv6720,
Payam Javan,2007,https://payamjavan.com/,95157,"San Jose, CA",California,(408) 583-0483,info@payamjavan.com,Iranian American,"Iranian American,Central Asian American",,Farsi,Magazine,"Magazine,Television,Radio,Website",Monthly,Local,Local,https://twitter.com/payamjavantv,https://www.facebook.com/PayamJavan/,https://www.youtube.com/@PayamJavan,
Peyk Magazine,1991,https://peykmagazine.com/en/,92121,"San Diego, CA",California,(858) 552-9355,pcc@pccsd.org,Iranian American,Iranian American,,"Farsi,English",Magazine,"Magazine,Website",Biweekly,Local,Local,https://twitter.com/PeykMagazine,https://www.facebook.com/profile.php?id=100063524648221,,verified
Pezhvak of Persia,1990,https://pezhvak.com/,95157,"San Jose, CA",California,(408) 221-8624,info@pezhvak.com,Iranian American,Iranian American,,Farsi,Newspaper,"Newspaper,Digital Newspaper,Website",Monthly,Local,Local,,https://www.facebook.com/pezhvak.persia/,,
Philippine Daily Mirror,2015,https://philippinedailymirror.com,,"Elizabeth, NJ",New Jersey,(908) 485-6188,info@philippinedailymirror.com,Filipino American,Filipino American,,English,Website,Website,Daily,Local,Local,,,,verified
Philippine Fiesta,2002,https://philfiesta.net/,95624,"Sacramento, CA",California,(916) 708-3462,fivedsarts@yahoo.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Monthly,Local,Local,,https://www.facebook.com/philfiesta.newspaper/,,
Philippine News Today,1961,https://pnewstoday.com,94080,"San Francisco, CA",California,(408) 667-1641,editorial@philippinenews.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/philippinenews1961/,,verified
Philippine Post,2017,https://philpostblog.wordpress.com/,90703,"Cerritos, CA",California,(562) 469-8030,philippinepost@aol.com,Filipino American,Filipino American,,English,Website,"Digital Newspaper,Website",Weekly,Local,Local,,,,
Philippine Times Southern Nevada,2003,https://philippine-times.com/,89119,"Las Vegas, NV",Nevada,(702) 530-0706,PTSNVsales@gmail.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Bimonthly,Local,Local,,https://facebook.com/ptsnv/,https://www.youtube.com/@ptsn702,verified
PHLV Radio,2017,https://www.phlvradio.com/,89119,"Las Vegas, NV",Nevada,(702) 613-6433,info@phlvradio.com,Filipino American,Filipino American,,"Tagalog,English",Radio,"Radio,Television,Podcast,Website",Daily,Local,Local,"https://x.com/phlvradio

",https://www.facebook.com/phlvradio,https://www.youtube.com/c/PHLVRadio,verified
PHLV Radio (and PHFL in Florida),2018,https://phlvradio.com/,89119,"Las Vegas, NV",Nevada,(702) 613-6433,info@phlvradio.com,Filipino American,Filipino American,,"Tagalog,English",Radio,"Radio,Podcast,Website",24/7,Local,Local,https://twitter.com/phlvradio,https://facebook.com/phlvradio,https://www.youtube.com/c/PHLVRadio,
Phoenix TV Americas Network,2014,https://www.ifengus.com/ ,91706,"Irwindale, CA",California,(626) 388-1102,kyedwards@phoenixtv-us.com ,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional),Mandarin",Television,"Television,Website",24/7,Local,"Local,Diasporic","twitter.com/phoenixtv_news
","https://www.facebook.com/PhoenixTV
","https://youtube.com/@phoenixtvhk
",verified
PINOY Newsmagazine,2013,https://pinoynewsmagazine.com/,60077,"Skokie, IL",Illinois,(847) 329-1073,pinoynewsmagazine@yahoo.com,Filipino American,Filipino American,,"Tagalog,English",Newspaper,"Newspaper,Website",Monthly,Local,Local,,https://facebook.com/mariano.santos.777,,verified
Piyaoba,2021,https://www.piyaoba.org/,94108,"San Francisco, CA",California,(415) 274-6750,contact@piyaoba.org,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",Fact-Checking,Chinese (Simplified),Website,"WeChat,Newsletter,Website",Weekly,National,National,,,https://www.youtube.com/@piyaoba,verified
Plan A Magazine,2017,https://planamag.com/,,,,,editor.planamag@gmail.com,Asian American,Asian American,Identity and Culture in Diasporic Communities,,Website,"Digital Magazine,Podcast,Website",Weekly,National,"National,Diasporic",https://x.com/planamag,https://www.facebook.com/planamag,,
Port of Entry,2024,https://jenniferchowdhury.substack.com/,11372,"Queens, NY",New York,"(646) 479-7979 (Signal)
",portofentry00@gmail.com,Asian American,"Bangladeshi American,South Asian American,Southeast Asian American,Asian American","Global, Diasporic Stories
",English,Newsletter,Newsletter,Weekly,Diasporic,Diasporic,https://x.com/Jenn_Chowdhury,,,
Portland Chinese Times,1997,https://portlandchinesetimes.com/,97266,"Portland, OR",Oregon,(503) 771-9560,pct@portlandchinesetimes.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,https://twitter.com/followpct,https://facebook.com/portlandchinesetimes/,https://www.youtube.com/@charlestv5900,
Positively Filipino,2012,https://positivelyfilipino.com/,94010,"Burlingame, CA",California,(415) 894-5350,filipinos@positivelyfilipino.com,Filipino American,Filipino American,,English,Website,"Digital Magazine,Website",Weekly,National,National,https://twitter.com/pstvlyfilipino,https://facebook.com/PositivelyFilipino,,verified
Pravasi Channel,2020,https://pravasichannel.com/,08854,"Piscataway, NJ",New Jersey,(917) 900-2123,pravasichannelusa@gmail.com,Indian American,Indian American,,"Malayalam,English",Television,"Television,Website",Daily,Local,Local,,https://www.facebook.com/pravasichannelusa/,https://www.youtube.com/@pravasichannel4463,
Probash News,2014,https://probashnews.com/,11372,"Bronx, NY",New York,(646) 249-5129,info@probashnews.com,Bangladeshi American,Bangladeshi American,,Bangla,Website,Website,Weekly,Local,"Local,Diasporic",,https://www.facebook.com/ProbashNews24,https://www.youtube.com/@probashnews2362,
Prothom Alo North America,2017,https://www.prothomalony.com/,11372,"Jackson Heights, NY",New York,(718) 308-5020,news@prothomalony.com,Bangladeshi American,"Bangladeshi American,South Asian American",,Bangla,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,National,"National,Diasporic",,,,
PTC News USA,2008,https://www.ptcnews.tv/,93612,"Clovis, CA",California,(631) 552-0348,rn@ptcnetwork.com,Indian American,"Indian American,South Asian American",Human Rights and Social Justice,"Hindi,Punjabi,Gurmukhi,English",Television,"Television,Website",Daily,National,"National,Diasporic",https://twitter.com/ptcnews,https://www.facebook.com/PTCNewsAmerica/,https://www.youtube.com/user/PTCNewsIndia,
Punjab Mail USA,2008,https://punjabmailusa.com/,95757,"Elk Grove, CA",California,(916) 320-9444,punjabmailusa@yahoo.com,Indian American,"Indian American,South Asian American",,"Punjabi,Gurmukhi,English",Television,"Newspaper,Digital Newspaper,Television,Website",Daily,National,"Local,National",https://twitter.com/punjabmailusa,https://www.facebook.com/punjabmailusa1,https://www.youtube.com/PunjabMailUSAofficial,
Punjabi Duniya Weekly,2005,,11801,"Hicksville, NY",New York,(917) 612-3158,punjabiduniya@gmail.com,Indian American,Indian American,,"Punjabi,Gurmukhi",Newspaper,"Newspaper,Digital Newspaper",Weekly,Local,Local,https://twitter.com/punjabiduniya,https://www.facebook.com/punjabiduniya/,,verified
Punjabi Radio USA KLOK 1170 AM and 99.3 FM,2010,https://punjabiradiousa.com/,95127,"San Jose, CA",California,(408) 272-5200,info@punjabiradiousa.com,Indian American,"Indian American,Pakistani American,South Asian American",,Punjabi,Radio,"Radio,Website",24/7,Local,"Local,National,Diasporic",https://twitter.com/PunjabiRadioUSA,https://www.facebook.com/PunjabiRadio,https://www.youtube.com/@punjabiradiousa,
Punjabi Trucking 360,2021,https://www.punjabitrucking360.com/,93722,"Fresno, CA",California,(877) 806-2525,info@punjabitruckingusa.com,Indian American,"Indian American,South Asian American",Trucking,"Punjabi,English",Podcast,"Podcast,Television",Weekly,National,National,,,,
Punjabi Trucking Magazine,2018,https://punjabitruckingusa.com/,93722,"Fresno, CA",California,(877) 806-2525,info@punjabitruckingusa.com,Indian American,"Indian American,South Asian American",Trucking,"Punjabi,Gurmukhi,English",Magazine,"Magazine,Digital Magazine,Newsletter,Website",Quarterly,National,National,https://twitter.com/PunjabiTrucking,https://facebook.com/PunjabiTruckingMagazine,https://www.youtube.com/@punjabitrucking3602,
Qoumantry Amritsar Times,2011,https://amritsartimes.com/,94538,"Fremont, CA",California,(510) 240-5949,asrtimes@gmail.com,Indian American,"Indian American,Pakistani American,South Asian American",,Punjabi,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National,Diasporic",https://twitter.com/amritsartimes?lang=en,https://www.facebook.com/amritsartimes?locale=it_IT,https://www.youtube.com/@AmritsarTimes,
Quami Ekta,2002,https://quamiekta.com/,95337,"Manteca, CA",California,(408) 351-4054,quamiekta@quamiekta.com,Indian American,"Indian American,South Asian American",,"Punjabi,Gurmukhi",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,"Local,National,Diasporic",https://twitter.com/quamiekta,https://www.facebook.com/profile.php?id=100080274036664&locale=te_IN,,
Quê Hương Media on KZSJ 1120 AM,1999,,95131,"San Jose, CA",California,(408) 645-5575,qhradio@aol.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,Radio,Daily,Local,Local,,https://facebook.com/people/Que-Huong-Media/100063466535253/,https://www.youtube.com/@quehuongradio,
Radio Hamrah KTVW 94.7 FM,2014,https://radiohamrah.com/,90064,"Los Angeles, CA",California,(310) 441-5111,note2doctor@gmail.com,Iranian American,Iranian American,,Farsi,Radio,"Radio,Website",24/7,Local,"Local,National,Diasporic",https://twitter.com/RadioHamrah,https://www.facebook.com/radiohamrah/,https://www.youtube.com/@radiohamrah7235,
Radio Hankook KSUH 1450 AM and KWYZ 1230 AM,1951,http://www.radiohankook.com/,98003,"Puyallup, WA",Washington,(253) 815-1212,info@radiohankook.com,Korean American,Korean American,,Korean,Radio,Radio,24/7,Local,Local,,https://www.facebook.com/radiohankook/,https://www.youtube.com/@radiohankook4966,
Radio Iran KIRN 670 AM and 95.5 FM (aka SoCal Persian),1999,https://SoCalPersian.com,90068,"Los Angeles, CA",California,(323) 851-5476,alirezah@670amkirn.com,Iranian American,"Iranian American,Armenian American",,"Armenian,Farsi",Radio,"Radio,Podcast,Website",24/7,Local,"Local,National",https://twitter.com/kirnradioiran?lang=en,https://www.facebook.com/kirnradioiran/,https://www.youtube.com/@KIRNRadioIran670AM,
Radio K (aka LA Woori Broadcasting) KYPA AM 1230,2011,https://www.radiok1230.com/,90005,"Los Angeles, CA",California,(213) 674-5900,radiok1230@gmail.comLocation:United States,Korean American,Korean American,,Korean,Radio,"Radio,Website",24/7,Local,Local,,https://www.facebook.com/am1230woori/,https://www.youtube.com/@radiowoori,
Radio Korea Alaska,2013,,99507,"Anchorage, AK",Alaska,(907) 336-1214,,Korean American,Korean American,,Korean,Radio,Radio,Daily,Local,Local,,,,
Radio Korea KMPC 1540 AM,1989,https://radiokorea.com/,90010,"Los Angeles, CA",California,(213) 487-1300,info@radiokorea.com,Korean American,Korean American,,Korean,Radio,"Radio,Digital Newspaper,Newsletter,Television,KakaoTalk,Website",24/7,Local,Local,https://twitter.com/RadioKorea,https://www.facebook.com/RKTV1540,https://www.youtube.com/@radiokorea,
Radio Korea NY 87.7 FM,2004,https://fm877.nyc/,11354,"Flushing, NY",New York,(718) 358-9300,contact@fmnyradiokorea.com,Korean American,Korean American,,Korean,Radio,"Radio,Website",24/7,Local,Local,https://twitter.com/FMNYRADIOKOREA,https://www.facebook.com/profile.php?id=100076367757008,https://www.youtube.com/@radiokoreanewyork,
Radio Polynesia,1989,https://www.radiopolynesialtd.com/,,"Apia, Samoa",Samoa,685 33105,corey@fmradio.ws,Samoan,Samoan,,"Samoan,English",Radio,"Radio,Website",24/7,Local,"Local,Diasporic",https://twitter.com/RadioPolynesia,https://www.facebook.com/RadioPolynesia/,https://www.youtube.com/@talofafmsamoa6885,
"Radio Punjab on 1250 AM in Seattle, 1490 AM in Bakersfield, 1600 AM and 105.3 FM in Vancouver, 1600 AM in Fresno, 890 AM in Dallas, and 1470 AM in Indianapolis",1994,http://www.radiopunjab.com/,98030,"Kent, WA",Washington,(206) 497-1313,ssd@radiopunjab.com,Indian American,"Indian American,Pakistani American,South Asian American",Sikh,"Hindi,Punjabi,Urdu,English",Radio,"Radio,Website",24/7,Local,Local,https://twitter.com/RadioPunjab,https://www.facebook.com/RadioPunjab,https://www.youtube.com/@RadioPunjab,
Radio Saigon Dallas KBDT 1160 AM,2009,https://saigondallasradio.com/,75238,"Dallas, TX",Texas,(214) 389-2563,Info@Saigonradio890am.com,Vietnamese American,Vietnamese American,,"Vietnamese,English",Radio,"Radio,Website",Daily,Local,Local,,https://facebook.com/RadioSaigonDallas/,,
Radio Saigon Houston KREH 900 AM,1998,https://radiosaigonhouston.com/,77072,"Pecan Grove, TX",Texas,(713) 917-0050,info@radiosaigonhouston.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,Radio,Daily,Local,Local,https://twitter.com/rsh900,https://facebook.com/radiosaigonhouston,,verified
Radio Seoul KFOX 1650 AM and 106.3 FM,2009,https://radioseoul1650.com/,90010,"Los Angeles, CA",California,(323) 935-0606,info@radioseoul1650.com,Korean American,Korean American,,Korean,Radio,"Radio,Television,Website",24/7,Local,Local,https://twitter.com/RadioSeoul1650,https://www.facebook.com/radioseoul1650/,https://www.youtube.com/@radioseoul,
Radio Tiếng Nươc Tôi (aka TNT Media Live: San Jose (HQ),2000,https://radiotiengnuoctoi.com/,95122,"San Jose, CA",California,(408) 766-6409,info@radiotiengnuoctoi.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Website",24/7,Local,"Local,National",,https://www.facebook.com/radiotiengnuoctoi,https://www.youtube.com/@TNTMediaLive,
Radio Tiếng Nươc Tôi: Atlanta (aka TNT Media Atlanta),2004,https://tntmedia-atlanta.com/,30341,"Chamblee, GA",Georgia,(770) 457-6755,hunganh@yahoo.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Television,Website",24/7,Local,Local,,,https://www.youtube.com/@TNTMediaLive,
Radio Tiếng Nươc Tôi: Boston (aka TNT Media Boston),2004,https://www.tiengnuoctoiboston.com/,02122,"Dorchester, MA",Massachusetts,(617) 834-3426,tntbostonradion@gmail.com ,Vietnamese American,Vietnamese American,,Vietnamese,Radio,"Radio,Television,Website",24/7,Local,Local,,https://www.facebook.com/ha.le.75286100,https://www.youtube.com/@TNTMediaLive,
Radio Tiếng Nươc Tôi: Hawaii (aka TNT Media Hawaii),2004,https://tntmediahawaii.net/,96816,"Honolulu, HI",Hawaii,(808) 384-8619,tntmediahawaii@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Radio,Radio,24/7,Local,Local,,https://www.facebook.com/profile.php?id=100085712204858&paipv=0&eav=Afa-FjkGx_LJl0ZEZcuUAOFgW22-6IjTP2l2EFAi3Y__T-1Xuz47F9GVnkR68yd8FWQ,https://www.youtube.com/@TNTMediaLive,
